"PaymentID";"CustomerId";"ProductId";"TransactionDate";"CreditCard";"CreditCardNumber"
"3423635";"151";"10121";"2013-01-06T04:03:57";"maestro";"5020 3518 3542 8196"
"3423636";"550";"10160";"2013-01-18T12:58:50";"mastercard";"5535 7560 4372 2420"
"3423637";"75";"10242";"2013-01-12T08:50:13";"amex";"3433 0651 8105 843"
"3423638";"131";"10137";"2013-01-22T11:02:31";"instapayment";"6373 5309 8564 4766"
"3423639";"257";"10152";"2013-01-16T02:12:16";"instapayment";"6377 4878 3591 4046"
"3423640";"68";"10096";"2013-01-27T08:41:19";"mastercard";"5587 6954 3992 3332"
"3423641";"251";"10326";"2013-01-16T03:31:04";"visaelectron";"4844 9159 9708 0347"
"3423642";"338";"10262";"2013-01-05T06:22:54";"amex";"3783 1236 9207 900"
"3423643";"13";"10041";"2013-01-28T05:20:33";"mastercard";"5418 6865 2180 1572"
"3423644";"838";"10164";"2013-01-01T05:46:53";"visa";"4443 4216 4464 5967"
"3423645";"523";"10290";"2013-01-16T10:55:20";"visa";"4473 1306 5709 3618"
"3423646";"13";"10233";"2013-01-15T06:25:26";"amex";"3722 2512 8673 285"
"3423647";"213";"10055";"2013-01-20T11:10:59";"visaelectron";"4026 0309 5923 3197"
"3423648";"354";"10348";"2013-01-01T06:00:51";"instapayment";"6375 1520 0942 4782"
"3423649";"497";"10078";"2013-01-19T12:41:45";"amex";"3752 0110 0079 673"
"3423650";"485";"10017";"2013-01-12T10:12:34";"instapayment";"6399 1638 7030 8386"
"3423651";"466";"10296";"2013-01-10T03:13:33";"maestro";"6304 4893 9240 7933"
"3423652";"720";"10000";"2013-01-16T04:43:44";"instapayment";"6393 0164 4920 5713"
"3423653";"629";"10182";"2013-01-22T01:46:03";"maestro";"6763 6097 0151 3832"
"3423654";"837";"10114";"2013-01-04T03:57:14";"visaelectron";"4175 0003 9667 5127"
"3423655";"698";"10015";"2013-01-03T11:02:41";"instapayment";"6392 2665 3043 3655"
"3423656";"294";"10196";"2013-01-28T10:32:33";"amex";"3401 0661 3922 909"
"3423657";"560";"10265";"2013-01-08T08:05:08";"visaelectron";"4026 3094 3759 1123"
"3423658";"275";"10147";"2013-01-07T02:57:24";"amex";"3708 2224 9903 070"
"3423659";"969";"10079";"2013-01-29T12:11:31";"mastercard";"5576 8599 4095 8376"
"3423660";"768";"10086";"2013-01-01T08:29:28";"visaelectron";"4175 0047 3281 6387"
"3423661";"991";"10220";"2013-01-08T11:32:19";"instapayment";"6395 5475 8359 0773"
"3423662";"329";"10011";"2013-01-23T07:53:33";"amex";"3793 5394 3802 542"
"3423663";"889";"10245";"2013-01-28T11:27:14";"maestro";"5038 4333 9801 8398"
"3423664";"307";"10273";"2013-01-04T04:26:40";"mastercard";"5232 7877 1421 2975"
"3423665";"9";"10126";"2013-01-30T10:40:49";"mastercard";"5226 2076 7678 1154"
"3423666";"119";"10328";"2013-01-25T02:56:58";"visa";"4411 9110 2169 4230"
"3423667";"131";"10231";"2013-01-10T10:27:31";"instapayment";"6379 1552 9783 8494"
"3423668";"536";"10002";"2013-01-19T11:21:54";"visa";"4059 6738 6527 9281"
"3423669";"984";"10211";"2013-01-02T09:03:05";"maestro";"5020 2813 6787 8031"
"3423670";"105";"10110";"2013-01-12T08:15:33";"visaelectron";"4844 5278 9957 2345"
"3423671";"822";"10288";"2013-01-10T10:30:40";"mastercard";"5170 9610 6641 3663"
"3423672";"496";"10314";"2013-01-24T08:02:59";"visaelectron";"4175 0047 4317 0857"
"3423673";"469";"10288";"2013-01-29T09:33:26";"maestro";"6763 6064 1077 1172"
"3423674";"66";"10130";"2013-01-30T07:27:47";"instapayment";"6375 2533 9902 4511"
"3423675";"840";"10242";"2013-01-19T11:26:47";"visa";"4222 6534 8041 8946"
"3423676";"876";"10125";"2013-01-16T08:48:34";"mastercard";"5589 2639 2523 0544"
"3423677";"692";"10274";"2013-01-20T04:21:45";"maestro";"6759 9114 0385 1205"
"3423678";"239";"10230";"2013-01-05T10:13:26";"mastercard";"5392 6191 8533 4671"
"3423679";"265";"10276";"2013-01-23T08:49:25";"amex";"3767 5080 4206 395"
"3423680";"115";"10015";"2013-01-19T05:03:09";"maestro";"5020 0609 3398 4659"
"3423681";"604";"10048";"2013-01-25T09:10:47";"mastercard";"5552 8722 8307 6399"
"3423682";"833";"10322";"2013-01-13T01:46:14";"maestro";"5893 7147 9293 5590"
"3423683";"517";"10123";"2013-01-04T04:10:30";"mastercard";"5370 1662 0356 2624"
"3423684";"192";"10168";"2013-01-11T02:16:47";"maestro";"6761 0290 5455 7884"
"3423685";"562";"10080";"2013-01-14T02:40:30";"amex";"3700 1150 3204 504"
"3423686";"386";"10143";"2013-01-29T07:06:11";"mastercard";"5175 1161 9138 6491"
"3423687";"960";"10129";"2013-01-11T01:48:27";"instapayment";"6395 4010 3828 6001"
"3423688";"215";"10042";"2013-01-19T01:08:48";"visa";"4139 0157 9760 5320"
"3423689";"86";"10194";"2013-01-26T08:41:27";"mastercard";"5546 8056 6180 9758"
"3423690";"642";"10324";"2013-01-24T01:25:14";"visaelectron";"4508 1342 3818 2279"
"3423691";"965";"10317";"2013-01-09T08:42:59";"visaelectron";"4917 6622 1056 3236"
"3423692";"105";"10079";"2013-01-18T10:59:45";"visa";"4584 6571 8523 8998"
"3423693";"314";"10206";"2013-01-20T04:20:55";"visa";"4217 9920 7865 0388"
"3423694";"949";"10012";"2013-01-23T12:46:16";"maestro";"6763 0010 4561 4155"
"3423695";"728";"10041";"2013-01-09T04:00:47";"instapayment";"6384 9252 4764 8976"
"3423696";"976";"10226";"2013-01-23T05:58:52";"visa";"4950 7910 4361 3948"
"3423697";"53";"10300";"2013-01-04T09:01:26";"visaelectron";"4844 6037 2099 9682"
"3423698";"344";"10093";"2013-01-26T08:28:25";"maestro";"5018 8128 3448 1761"
"3423699";"346";"10162";"2013-01-11T12:14:09";"amex";"3490 6234 5541 619"
"3423700";"57";"10309";"2013-01-11T09:39:08";"maestro";"6304 7527 5985 1476"
"3423701";"577";"10159";"2013-01-07T11:58:04";"instapayment";"6371 2120 3756 9687"
"3423702";"803";"10071";"2013-01-25T12:28:12";"amex";"3434 9345 8947 135"
"3423703";"928";"10308";"2013-01-05T04:56:57";"visaelectron";"4508 7129 8742 8744"
"3423704";"198";"10018";"2013-01-17T03:47:31";"visa";"4055 2998 4002 7456"
"3423705";"557";"10154";"2013-01-24T04:52:00";"visaelectron";"4913 3788 9297 1605"
"3423706";"362";"10272";"2013-01-04T06:59:21";"instapayment";"6372 6168 7715 9764"
"3423707";"762";"10012";"2013-01-18T06:33:02";"amex";"3756 6585 5235 427"
"3423708";"337";"10218";"2013-01-24T07:21:25";"amex";"3462 1183 8406 268"
"3423709";"772";"10266";"2013-01-08T01:58:33";"mastercard";"5464 7896 7572 1472"
"3423710";"60";"10065";"2013-01-08T02:19:16";"instapayment";"6380 1953 5709 5871"
"3423711";"792";"10330";"2013-01-23T07:43:37";"maestro";"5020 0338 9648 2045"
"3423712";"477";"10340";"2013-01-24T07:53:47";"maestro";"5893 0603 9691 1029"
"3423713";"500";"10228";"2013-01-07T11:56:02";"amex";"3787 6898 3719 473"
"3423714";"917";"10088";"2013-01-17T02:01:30";"amex";"3483 0670 3014 839"
"3423715";"955";"10150";"2013-01-27T12:16:29";"instapayment";"6371 3642 6254 5765"
"3423716";"26";"10077";"2013-01-09T01:01:40";"mastercard";"5324 3044 2247 7814"
"3423717";"724";"10240";"2013-01-02T08:04:28";"visaelectron";"4844 1454 1459 1474"
"3423718";"398";"10040";"2013-01-22T10:43:03";"mastercard";"5211 2664 2618 8323"
"3423719";"112";"10125";"2013-01-03T02:15:55";"instapayment";"6398 9971 9517 8656"
"3423720";"560";"10321";"2013-01-18T02:29:50";"visa";"4694 1596 8815 2955"
"3423721";"556";"10311";"2013-01-13T01:31:03";"visa";"4996 2657 5789 5138"
"3423722";"73";"10201";"2013-01-03T03:05:20";"visaelectron";"4026 9353 2701 1671"
"3423723";"619";"10199";"2013-01-29T08:11:51";"mastercard";"5478 9457 9103 3341"
"3423724";"376";"10138";"2013-01-12T02:26:37";"maestro";"6759 8401 7325 4003"
"3423725";"518";"10207";"2013-01-04T03:24:32";"instapayment";"6374 6042 4021 6022"
"3423726";"433";"10191";"2013-01-24T12:58:04";"maestro";"5893 7718 8332 4886"
"3423727";"797";"10310";"2013-01-15T02:39:10";"instapayment";"6391 1726 1887 4995"
"3423728";"369";"10347";"2013-01-13T09:17:32";"visa";"4172 3653 9179 8999"
"3423729";"581";"10345";"2013-01-05T08:22:20";"visaelectron";"4913 1696 5942 6986"
"3423730";"64";"10126";"2013-01-21T08:48:37";"mastercard";"5488 1764 1874 9345"
"3423731";"820";"10252";"2013-01-15T10:02:39";"maestro";"5020 8119 7205 5730"
"3423732";"114";"10150";"2013-01-10T10:28:10";"maestro";"5038 1351 0889 3438"
"3423733";"95";"10165";"2013-01-14T07:20:00";"maestro";"6761 7316 6383 8668"
"3423734";"639";"10309";"2013-01-22T06:43:22";"instapayment";"6384 1672 3025 8097"
"3423735";"795";"10030";"2013-01-17T09:54:04";"visa";"4782 8966 0536 6985"
"3423736";"200";"10001";"2013-01-29T10:07:08";"visaelectron";"4917 8950 7292 4084"
"3423737";"18";"10123";"2013-01-06T11:10:32";"visaelectron";"4508 3583 2759 9735"
"3423738";"436";"10261";"2013-01-04T03:03:29";"amex";"3772 9221 7553 989"
"3423739";"43";"10025";"2013-01-15T05:01:07";"mastercard";"5187 6210 7004 8910"
"3423740";"165";"10157";"2013-01-17T09:09:14";"amex";"3488 5359 6977 762"
"3423741";"81";"10142";"2013-01-02T01:02:22";"amex";"3793 9842 7830 972"
"3423742";"330";"10035";"2013-01-27T10:06:57";"instapayment";"6395 4930 1944 0186"
"3423743";"869";"10021";"2013-01-30T05:39:05";"amex";"3455 6933 6748 171"
"3423744";"607";"10195";"2013-01-27T11:45:09";"visaelectron";"4844 1458 9861 3091"
"3423745";"781";"10138";"2013-01-30T10:18:46";"visa";"4723 2086 6051 0220"
"3423746";"483";"10252";"2013-01-19T05:00:39";"mastercard";"5187 6883 9077 6090"
"3423747";"329";"10090";"2013-01-25T05:53:26";"maestro";"6761 6212 3098 8759"
"3423748";"310";"10333";"2013-01-10T11:03:54";"visaelectron";"4026 0316 8495 1608"
"3423749";"359";"10200";"2013-01-23T07:42:46";"mastercard";"5131 1127 0278 3436"
"3423750";"176";"10118";"2013-01-09T11:15:04";"instapayment";"6389 9031 1849 1417"
"3423751";"748";"10118";"2013-01-29T06:46:10";"maestro";"5038 9858 6390 4980"
"3423752";"453";"10212";"2013-01-21T03:44:41";"visaelectron";"4913 0253 5152 3944"
"3423753";"136";"10247";"2013-01-15T04:16:57";"amex";"3739 3648 2925 660"
"3423754";"487";"10197";"2013-01-09T05:02:28";"visaelectron";"4844 7907 1920 3364"
"3423755";"53";"10081";"2013-01-28T05:20:15";"mastercard";"5460 9920 3785 9378"
"3423756";"261";"10347";"2013-01-14T03:04:35";"mastercard";"5113 0929 0969 9050"
"3423757";"876";"10081";"2013-01-12T06:47:19";"instapayment";"6372 4063 4679 2068"
"3423758";"789";"10274";"2013-01-30T04:53:58";"mastercard";"5565 0742 7431 5804"
"3423759";"132";"10138";"2013-01-26T07:01:05";"visa";"4246 9260 2882 9861"
"3423760";"640";"10330";"2013-01-15T12:08:41";"maestro";"5020 4276 9954 4821"
"3423761";"58";"10175";"2013-01-27T04:49:22";"visaelectron";"4175 0039 8359 3646"
"3423762";"255";"10292";"2013-01-23T11:10:39";"amex";"3721 1613 2214 416"
"3423763";"793";"10022";"2013-01-06T08:35:49";"amex";"3717 6496 4455 952"
"3423764";"670";"10216";"2013-01-24T11:16:09";"maestro";"5893 5625 8445 1536"
"3423765";"192";"10094";"2013-01-26T04:27:54";"visaelectron";"4175 0016 9159 7297"
"3423766";"843";"10145";"2013-01-03T04:51:24";"maestro";"5018 5935 0872 0219"
"3423767";"61";"10119";"2013-01-02T12:36:17";"maestro";"5020 7448 3026 5987"
"3423768";"12";"10059";"2013-01-06T03:34:39";"maestro";"5018 5049 4119 1363"
"3423769";"594";"10303";"2013-01-09T08:31:17";"maestro";"6759 6712 0426 6546"
"3423770";"459";"10167";"2013-01-27T08:54:04";"visaelectron";"4844 1795 7830 7476"
"3423771";"827";"10044";"2013-01-22T02:39:43";"instapayment";"6376 5698 9432 5668"
"3423772";"559";"10347";"2013-01-21T08:14:44";"maestro";"5893 6349 6652 3487"
"3423773";"258";"10257";"2013-01-24T05:49:15";"mastercard";"5133 2764 7821 5481"
"3423774";"256";"10030";"2013-01-08T12:24:57";"instapayment";"6370 1579 6070 8367"
"3423775";"158";"10078";"2013-01-17T07:24:31";"mastercard";"5544 6855 2123 2371"
"3423776";"940";"10218";"2013-01-10T10:48:59";"visa";"4728 7516 6397 4823"
"3423777";"699";"10082";"2013-01-19T09:40:44";"maestro";"6304 8038 5197 0506"
"3423778";"280";"10174";"2013-01-02T02:21:33";"amex";"3706 2277 2478 528"
"3423779";"731";"10055";"2013-01-14T08:25:09";"maestro";"6304 5382 5836 9338"
"3423780";"673";"10255";"2013-01-21T05:18:55";"amex";"3786 4320 1675 361"
"3423781";"948";"10320";"2013-01-04T08:01:14";"maestro";"6759 4324 2888 6282"
"3423782";"915";"10144";"2013-01-14T07:23:51";"visaelectron";"4508 2254 0781 7057"
"3423783";"220";"10175";"2013-01-25T02:40:32";"visaelectron";"4844 4590 7311 6923"
"3423784";"79";"10254";"2013-01-20T12:18:40";"maestro";"6761 3593 4276 5365"
"3423785";"64";"10231";"2013-01-09T01:20:44";"visaelectron";"4508 2008 5371 3191"
"3423786";"844";"10243";"2013-01-20T07:42:11";"mastercard";"5161 0222 1468 2419"
"3423787";"599";"10265";"2013-01-05T09:23:18";"maestro";"5020 7098 8266 3611"
"3423788";"268";"10326";"2013-01-18T11:02:24";"visa";"4515 5456 9576 5762"
"3423789";"815";"10143";"2013-01-16T07:17:45";"visa";"4367 5841 0023 4725"
"3423790";"462";"10348";"2013-01-02T08:57:03";"visaelectron";"4844 1915 8481 9428"
"3423791";"683";"10047";"2013-01-25T03:07:41";"maestro";"6763 2294 8496 9257"
"3423792";"795";"10119";"2013-01-30T09:38:51";"mastercard";"5522 5373 9988 8873"
"3423793";"438";"10121";"2013-01-14T03:44:03";"visaelectron";"4913 3948 7412 8916"
"3423794";"972";"10007";"2013-01-30T10:34:50";"maestro";"5018 3636 1262 3265"
"3423795";"377";"10252";"2013-01-14T04:59:08";"mastercard";"5518 4603 2564 1736"
"3423796";"811";"10152";"2013-01-18T04:42:31";"visaelectron";"4917 3943 8475 0171"
"3423797";"593";"10263";"2013-01-04T01:31:23";"maestro";"6304 6311 4535 7325"
"3423798";"615";"10176";"2013-01-18T08:37:45";"amex";"3465 2158 7591 312"
"3423799";"446";"10300";"2013-01-03T12:02:41";"instapayment";"6392 0609 4824 2422"
"3423800";"782";"10192";"2013-01-15T07:25:06";"visa";"4021 2993 0874 3033"
"3423801";"934";"10333";"2013-01-21T04:02:36";"amex";"3738 2729 8566 741"
"3423802";"717";"10347";"2013-01-04T05:55:43";"maestro";"5893 4314 0769 7982"
"3423803";"799";"10289";"2013-01-17T02:41:16";"amex";"3412 7595 1935 341"
"3423804";"127";"10271";"2013-01-01T06:07:28";"instapayment";"6375 8625 7026 5634"
"3423805";"930";"10005";"2013-01-11T06:09:19";"maestro";"5038 3919 2133 2506"
"3423806";"556";"10024";"2013-01-28T06:02:13";"maestro";"6763 3665 7903 4009"
"3423807";"561";"10018";"2013-01-25T06:09:27";"maestro";"5893 0318 1021 8119"
"3423808";"341";"10138";"2013-01-07T11:15:59";"mastercard";"5413 5374 1768 0320"
"3423809";"821";"10055";"2013-01-19T02:59:24";"visa";"4931 3336 9485 0737"
"3423810";"209";"10237";"2013-01-18T12:53:51";"visaelectron";"4844 8857 4093 1890"
"3423811";"456";"10167";"2013-01-22T07:28:03";"mastercard";"5487 4244 1262 0372"
"3423812";"444";"10114";"2013-01-03T02:39:09";"mastercard";"5524 7815 0058 8026"
"3423813";"873";"10342";"2013-01-05T06:04:01";"visa";"4411 2542 0442 1760"
"3423814";"862";"10178";"2013-01-13T04:09:11";"amex";"3481 0323 5227 470"
"3423815";"279";"10283";"2013-01-15T12:11:08";"instapayment";"6371 5240 1402 6238"
"3423816";"837";"10030";"2013-01-05T02:06:11";"visaelectron";"4844 8097 5261 5498"
"3423817";"310";"10004";"2013-01-29T09:32:08";"maestro";"5020 9714 0946 9258"
"3423818";"298";"10279";"2013-01-07T12:32:14";"visaelectron";"4917 2157 4123 5384"
"3423819";"455";"10267";"2013-01-20T04:06:36";"visa";"4412 7911 2042 1746"
"3423820";"889";"10071";"2013-01-25T12:28:11";"visa";"4817 1875 6286 2797"
"3423821";"575";"10089";"2013-01-27T02:38:46";"amex";"3726 8281 1970 453"
"3423822";"485";"10310";"2013-01-05T04:28:53";"amex";"3460 1124 6357 479"
"3423823";"972";"10205";"2013-01-15T10:51:56";"visa";"4095 6711 8293 5649"
"3423824";"846";"10058";"2013-01-25T11:01:11";"visa";"4277 0556 6043 3097"
"3423825";"819";"10190";"2013-01-22T03:27:56";"visaelectron";"4026 1054 9752 5542"
"3423826";"508";"10134";"2013-01-08T08:43:55";"visaelectron";"4844 3967 0690 6983"
"3423827";"209";"10134";"2013-01-12T09:05:06";"maestro";"6762 1675 5580 2448"
"3423828";"895";"10105";"2013-01-22T09:05:57";"maestro";"6304 6146 6413 1115"
"3423829";"749";"10010";"2013-01-18T10:22:53";"maestro";"6762 8933 3856 2757"
"3423830";"285";"10315";"2013-01-11T05:41:35";"instapayment";"6393 8475 1585 8195"
"3423831";"406";"10024";"2013-01-14T04:07:37";"maestro";"6762 2410 1226 8616"
"3423832";"455";"10041";"2013-01-17T06:28:06";"amex";"3440 6889 4988 916"
"3423833";"242";"10048";"2013-01-14T03:06:15";"mastercard";"5509 8782 9062 2798"
"3423834";"772";"10183";"2013-01-06T05:09:34";"maestro";"6761 7727 9738 6935"
"3423835";"832";"10002";"2013-01-24T10:17:30";"mastercard";"5360 6072 1460 4154"
"3423836";"38";"10035";"2013-01-24T10:38:33";"amex";"3720 8857 4831 595"
"3423837";"364";"10248";"2013-01-07T09:38:25";"instapayment";"6378 8030 9579 3392"
"3423838";"619";"10219";"2013-01-16T06:04:03";"instapayment";"6399 7578 8616 9615"
"3423839";"882";"10216";"2013-01-24T04:57:06";"instapayment";"6389 6268 0116 1548"
"3423840";"255";"10330";"2013-01-07T11:50:50";"visaelectron";"4913 6426 7589 9006"
"3423841";"689";"10068";"2013-01-16T12:44:56";"instapayment";"6374 2508 8263 6034"
"3423842";"486";"10238";"2013-01-26T09:09:10";"amex";"3789 3645 1477 250"
"3423843";"653";"10174";"2013-01-01T01:16:41";"visa";"4083 8497 3002 3654"
"3423844";"801";"10230";"2013-01-20T04:11:37";"maestro";"6761 4349 5998 2866"
"3423845";"68";"10062";"2013-01-03T01:30:03";"visaelectron";"4913 1186 5174 5406"
"3423846";"470";"10020";"2013-01-19T08:44:52";"amex";"3457 1107 0429 085"
"3423847";"746";"10314";"2013-01-23T08:36:44";"mastercard";"5246 7615 9956 3475"
"3423848";"504";"10064";"2013-01-07T07:09:47";"maestro";"5893 7281 4939 7072"
"3423849";"226";"10188";"2013-01-01T04:28:32";"maestro";"6304 5414 1395 7542"
"3423850";"355";"10043";"2013-01-04T02:06:04";"amex";"3752 8615 8478 273"
"3423851";"335";"10188";"2013-01-29T11:50:22";"visa";"4474 0194 8232 7896"
"3423852";"763";"10099";"2013-01-27T09:58:27";"mastercard";"5301 5440 3814 3741"
"3423853";"859";"10008";"2013-01-10T04:03:34";"amex";"3708 3030 6984 867"
"3423854";"637";"10002";"2013-01-22T11:16:46";"maestro";"5018 1248 3539 1985"
"3423855";"749";"10048";"2013-01-14T01:38:26";"visaelectron";"4844 8046 8262 2649"
"3423856";"965";"10325";"2013-01-25T02:02:44";"maestro";"6761 0044 2647 9356"
"3423857";"97";"10037";"2013-01-08T02:38:33";"visaelectron";"4917 2594 8310 9712"
"3423858";"540";"10317";"2013-01-14T08:34:27";"visa";"4117 0337 5393 8607"
"3423859";"113";"10053";"2013-01-12T01:02:21";"maestro";"6759 2516 5401 6285"
"3423860";"711";"10163";"2013-01-30T10:27:48";"mastercard";"5175 9350 0007 6120"
"3423861";"492";"10108";"2013-01-02T04:18:07";"mastercard";"5451 5583 7767 0302"
"3423862";"469";"10282";"2013-01-27T10:38:14";"mastercard";"5516 9310 9218 8368"
"3423863";"785";"10191";"2013-01-03T12:14:47";"instapayment";"6399 3621 1508 4162"
"3423864";"923";"10083";"2013-01-23T07:45:48";"visa";"4347 2482 7888 2369"
"3423865";"934";"10149";"2013-01-19T06:58:35";"mastercard";"5364 0036 1884 9049"
"3423866";"612";"10328";"2013-01-08T02:41:21";"maestro";"6763 6646 5865 4071"
"3423867";"647";"10223";"2013-01-22T02:52:30";"visa";"4236 3055 2946 4217"
"3423868";"184";"10165";"2013-01-10T03:06:52";"maestro";"6304 3927 8615 9559"
"3423869";"119";"10120";"2013-01-18T09:41:26";"visaelectron";"4844 2683 2399 0288"
"3423870";"654";"10135";"2013-01-29T07:16:45";"visa";"4320 8675 1617 4973"
"3423871";"482";"10121";"2013-01-17T08:40:43";"visaelectron";"4175 0036 2614 0284"
"3423872";"871";"10198";"2013-01-19T08:20:50";"amex";"3747 8539 9341 019"
"3423873";"470";"10113";"2013-01-03T10:16:00";"amex";"3427 3047 3009 933"
"3423874";"796";"10230";"2013-01-19T03:55:03";"visaelectron";"4508 5322 6306 1229"
"3423875";"983";"10123";"2013-01-02T07:26:33";"maestro";"5018 8722 9092 5628"
"3423876";"933";"10057";"2013-01-16T11:10:57";"maestro";"5020 2166 3045 8583"
"3423877";"675";"10349";"2013-01-01T06:39:18";"visa";"4016 2742 0235 4739"
"3423878";"555";"10050";"2013-01-02T01:25:23";"visaelectron";"4844 8926 2359 2245"
"3423879";"159";"10347";"2013-01-01T07:35:52";"mastercard";"5519 5500 9543 2222"
"3423880";"381";"10208";"2013-01-02T10:11:01";"amex";"3768 4419 9817 187"
"3423881";"210";"10151";"2013-01-02T04:59:15";"amex";"3493 3544 5632 839"
"3423882";"27";"10264";"2013-01-06T10:36:34";"mastercard";"5161 0321 0672 1746"
"3423883";"132";"10329";"2013-01-23T08:06:58";"instapayment";"6384 8847 3619 9068"
"3423884";"823";"10187";"2013-01-16T07:20:43";"maestro";"5018 2321 4118 9926"
"3423885";"499";"10000";"2013-01-18T03:11:15";"mastercard";"5406 0456 8654 0992"
"3423886";"600";"10059";"2013-01-21T01:50:59";"amex";"3478 0392 6894 352"
"3423887";"647";"10345";"2013-01-27T10:38:39";"amex";"3712 5759 1247 280"
"3423888";"644";"10023";"2013-01-08T09:49:34";"mastercard";"5509 4060 3364 1451"
"3423889";"622";"10332";"2013-01-19T11:57:36";"visa";"4480 9913 5478 9423"
"3423890";"298";"10174";"2013-01-08T11:39:34";"maestro";"5020 9898 7276 8980"
"3423891";"755";"10148";"2013-01-24T07:38:11";"instapayment";"6385 7345 1174 4340"
"3423892";"637";"10148";"2013-01-09T04:54:45";"visa";"4670 9715 5391 0202"
"3423893";"690";"10284";"2013-01-11T05:40:41";"visa";"4632 2599 4943 0789"
"3423894";"224";"10100";"2013-01-02T02:04:22";"visa";"4601 9016 1250 7115"
"3423895";"480";"10312";"2013-01-18T11:01:00";"visaelectron";"4026 9910 5484 6417"
"3423896";"188";"10021";"2013-01-04T07:39:05";"amex";"3437 2890 6170 008"
"3423897";"300";"10065";"2013-01-29T07:16:15";"mastercard";"5223 6723 4256 4255"
"3423898";"814";"10049";"2013-01-19T07:32:39";"visa";"4183 2792 4460 5680"
"3423899";"473";"10244";"2013-01-26T06:01:22";"instapayment";"6387 1831 6958 9193"
"3423900";"331";"10338";"2013-01-12T03:15:48";"mastercard";"5542 9136 3406 3513"
"3423901";"708";"10156";"2013-01-07T10:20:39";"visa";"4225 7655 2439 6495"
"3423902";"852";"10154";"2013-01-10T12:39:51";"mastercard";"5581 1614 6998 4138"
"3423903";"929";"10327";"2013-01-06T04:34:45";"maestro";"5020 0562 8137 7546"
"3423904";"273";"10073";"2013-01-11T01:47:32";"instapayment";"6381 1619 2665 8416"
"3423905";"613";"10130";"2013-01-14T04:18:58";"visaelectron";"4917 4338 0815 1762"
"3423906";"449";"10314";"2013-01-24T01:37:19";"instapayment";"6394 1487 2314 5197"
"3423907";"280";"10323";"2013-01-06T12:12:17";"instapayment";"6395 1797 0462 1780"
"3423908";"197";"10083";"2013-01-21T06:22:48";"mastercard";"5529 9112 4002 3738"
"3423909";"705";"10307";"2013-01-12T10:04:06";"visa";"4949 4313 5912 6706"
"3423910";"452";"10319";"2013-01-25T01:15:58";"mastercard";"5454 2651 8380 2858"
"3423911";"429";"10280";"2013-01-25T03:35:02";"visa";"4261 8463 6673 7221"
"3423912";"457";"10138";"2013-01-14T10:43:19";"instapayment";"6373 9627 3916 9719"
"3423913";"353";"10076";"2013-01-02T06:47:38";"instapayment";"6386 5327 2186 0511"
"3423914";"991";"10004";"2013-01-24T02:56:23";"mastercard";"5469 2564 2677 3520"
"3423915";"572";"10107";"2013-01-17T04:49:34";"visaelectron";"4175 0002 1139 6073"
